feature,pc0,pc1,pc2
danceability,-0.3126720082799624,0.580545951285411,-0.07530794170260229
energy,-0.5546723716231935,-0.24930260587753986,-0.14831686238506578
key,-0.03671903239079375,0.15623667227863816,0.3965053707090182
loudness,-0.45947903177922556,-0.3977137484033102,0.10677822508368486
mode,0.15213241817868625,-0.33554879512243274,-0.4659525065999821
speechiness,-0.20253420341979764,0.20997927115017204,0.487667293517239
acousticness,0.4859137859882561,0.08665503721322011,0.02419048318016075
instrumentalness,0.031603057706692424,0.1951785760113529,-0.3299765280541747
liveness,-0.06050007558537424,-0.2710197271672543,0.10695526142021629
valence,-0.27779472885587825,0.37747679792556976,-0.47735990597637024
