date,rank,last-week,peak-rank,weeks-on-board,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_name,artists
2009-06-20,47,50.0,34,20,4wlPXKxC2oeiYYPldZaR0s,Wonders Of The Younger (International Version),41,198373,False,0.458,0.548,2,-7.1,1,0.0263,0.599,1.25e-05,0.106,0.55,90.599,4,punk-rock,"1, 2, 3, 4",Plain White T's
2009-06-20,47,50.0,34,20,4wlPXKxC2oeiYYPldZaR0s,Wonders Of The Younger (International Version),41,198373,False,0.458,0.548,2,-7.1,1,0.0263,0.599,1.25e-05,0.106,0.55,90.599,4,punk-rock,"1, 2, 3, 4",Plain White T's
2004-07-10,49,47.0,28,22,2lFlveK1y13WWp3vnQtrr3,The Battle for Everything,66,244600,False,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,4,acoustic,100 Years,Five For Fighting
2004-07-10,49,47.0,28,22,2lFlveK1y13WWp3vnQtrr3,The Battle for Everything,66,244600,False,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,4,acoustic,100 Years,Five For Fighting
2020-05-09,46,41.0,4,30,6Xf8iYxVkoNXqWB0Yjgcpb,Music for Rainy Days,0,167693,False,0.654,0.63,10,-4.644,1,0.0259,0.149,0.0,0.111,0.43,89.991,4,country,"10,000 Hours",Dan + Shay;Justin Bieber
1989-11-18,100,74.0,4,20,3N5Cdovy1BB8Wv7qMBwxtS,80's,0,231280,False,0.457,0.794,1,-6.624,0,0.0298,0.000384,7.18e-05,0.131,0.354,90.439,4,hard-rock,18 and Life,Skid Row
1989-11-18,100,74.0,4,20,3N5Cdovy1BB8Wv7qMBwxtS,80's,0,231280,False,0.457,0.794,1,-6.624,0,0.0298,0.000384,7.18e-05,0.131,0.354,90.439,4,hard-rock,18 and Life,Skid Row
1963-07-13,61,26.0,10,10,6Pt0UcyBb3Hf08G0OkQqth,I Got Rhythm,43,137826,False,0.604,0.412,4,-13.994,1,0.0306,0.784,1.38e-06,0.18,0.689,128.71,4,rockabilly,18 Yellow Roses,Bobby Darin
2005-01-22,75,67.0,23,20,5oQcOu1omDykbIPSdSQQNJ,A Hangover You Don't Deserve,71,193000,False,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974,4,punk-rock,1985,Bowling For Soup
2005-01-22,75,67.0,23,20,5oQcOu1omDykbIPSdSQQNJ,A Hangover You Don't Deserve,71,193000,False,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974,4,punk-rock,1985,Bowling For Soup
2020-01-18,94,,94,1,4Hqh0dS4x07zuRw6eBTO7p,20/20,64,230448,True,0.886,0.336,4,-12.779,1,0.239,0.557,0.0,0.0933,0.536,100.044,4,r-n-b,20/20,Lil Tjay
2021-11-06,76,72.0,51,15,4XvcHTUfIlWfyJTRG0aqlo,Still Sleep?,81,123986,True,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4,r-n-b,2055,Sleepy Hallow
2009-11-21,60,58.0,22,20,3IHHqmfKJHyI0obINUdg1W,21st Century Breakdown,51,322040,False,0.26,0.719,5,-4.765,1,0.0364,0.048,0.0,0.454,0.419,159.072,4,punk,21 Guns,Green Day
2021-05-15,29,27.0,2,27,6Im9k8u9iIzKMrmV7BWtlF,Positions,81,173710,True,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4,dance,34+35,Ariana Grande
2019-03-02,86,,86,1,2XWjPtKdi5sucFYtVav07d,365,66,181899,False,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,edm,365,Zedd;Katy Perry
2019-03-02,86,,86,1,2XWjPtKdi5sucFYtVav07d,365,66,181899,False,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,edm,365,Zedd;Katy Perry
2019-03-02,86,,86,1,2XWjPtKdi5sucFYtVav07d,365,66,181899,False,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,edm,365,Zedd;Katy Perry
2019-03-02,86,,86,1,2XWjPtKdi5sucFYtVav07d,365,66,181899,False,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,edm,365,Zedd;Katy Perry
2019-03-02,86,,86,1,2XWjPtKdi5sucFYtVav07d,365,66,181899,False,0.745,0.693,2,-5.479,0,0.034,0.339,0.0,0.123,0.248,98.039,4,edm,365,Zedd;Katy Perry
2018-08-25,89,36.0,36,2,11kDth1aKUEUMq9r1pqyds,ASTROWORLD,79,196138,True,0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,4,house,5% TINT,Travis Scott
1997-09-27,49,45.0,45,22,3UtGz5qWgIv4jJNYGvAvdB,Becoming X,55,228840,False,0.587,0.678,1,-8.651,0,0.0524,0.0319,0.16,0.116,0.429,169.947,4,trip-hop,6 Underground,Sneaker Pimps
2002-04-20,54,42.0,10,20,0gPQTLaqHDgdupKEok7J2x,Born to Do It,71,235133,False,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,4,british,7 Days,Craig David
2002-04-20,54,42.0,10,20,0gPQTLaqHDgdupKEok7J2x,Born to Do It,71,235133,False,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,4,british,7 Days,Craig David
2019-09-14,40,43.0,1,33,6ocbgoVGwYJhOv1GgI9NsF,"thank u, next",84,178626,True,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4,dance,7 rings,Ariana Grande
2019-09-14,40,43.0,1,33,6ocbgoVGwYJhOv1GgI9NsF,"thank u, next",84,178626,True,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4,dance,7 rings,Ariana Grande
1981-05-23,100,91.0,1,26,4w3tQBXhn5345eUXDGBWZG,9 To 5 And Odd Jobs,77,162466,False,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4,country,9 to 5,Dolly Parton
1994-01-08,96,85.0,72,9,0PV1TFUMTBrDETzW6KQulB,93 'til Infinity,71,286440,False,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,4,hardcore,93 'Til Infinity,Souls Of Mischief
1994-01-08,96,85.0,72,9,0PV1TFUMTBrDETzW6KQulB,93 'til Infinity,71,286440,False,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,4,hardcore,93 'Til Infinity,Souls Of Mischief
1984-05-12,98,94.0,2,23,2IJftBfq7pJ43tfnOR0RB3,Nena,27,231466,False,0.636,0.467,4,-10.1,1,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,4,german,99 Luftballons,Nena
1976-12-04,95,36.0,1,28,3bKxGQnDnuDkCZqMhrPFPB,Movie Classics,35,182533,False,0.687,0.506,0,-13.311,0,0.0407,0.315,0.692,0.0611,0.783,108.759,4,disco,A Fifth Of Beethoven,Walter Murphy
2018-02-17,98,,98,1,4IcLNRtHFMTEAvoLklnZjA,Mientras hago aromaterapia,0,217840,False,0.733,0.768,5,-4.481,1,0.0354,0.0197,1.03e-06,0.0643,0.83,105.006,4,country,A Girl Like You,Easton Corbin
1972-05-20,20,10.0,1,14,2VmyG10PAR0ZyTUtgOp5Wf,Session Acoustique,0,252239,False,0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,4,country,A Horse with No Name,America
1972-05-20,20,10.0,1,14,2VmyG10PAR0ZyTUtgOp5Wf,Session Acoustique,0,252239,False,0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,4,country,A Horse with No Name,America
1989-04-01,92,68.0,14,17,1WuUHpXs5m5DN6ZflYpIBN,Singles: EBX2,22,211666,False,0.58,0.812,0,-7.401,1,0.0256,0.0529,9.36e-06,0.316,0.655,114.085,4,synth-pop,A Little Respect,Erasure
